Sample Name,Time of sampling (after hrs) ,Plant,Test Name (PPM),RT,Area,BF,1st Day,3rd day,5th day,7th day 
B3.1,2,,N2O,5.124,113.2022,0.2477,,0.2898,0.3076,0.2917
B3.2,2,,CH4,2.789,19.1432,1.9765,,1.8362,1.7608,2.1608
B3.2,2,,CO2,4.189,52707.2758,6039.4036,,885.572,1670.9607,1760.5079
B3.2,2,,N2O,5.124,124.0688,0.2781,,0.2455,0.2633,0.2816
B3.3,2,,CH4,2.789,17.927,1.8346,,1.8236,2.0694,2.0618
B3.3,2,,CO2,4.189,50714.4341,5810.6555,,1760.1238,2478.4209,2204.0694
B3.3,2,,N2O,5.121,123.5431,0.2766,,0.2598,0.3002,0.2982
B3.6,2,,CH4,2.789,19.9607,2.0719,,2.2445,1.7511,2.1943
B3.6,2,,CO2,4.19,51832.3008,5938.9697,,1451.94,1641.753,1580.0642
B3.6,2,,N2O,5.123,127.3911,0.2874,,0.2956,0.2682,0.3031
B3.7,2,,CH4,2.791,15.6525,1.5693,,1.8231,1.9784,1.8081
B3.7,2,,CO2,4.196,9969.5028,1133.7533,,1271.7206,2402.3045,1737.1154
B3.7,2,,N2O,5.125,1855.9656,5.125,,0.2542,0.336,0.2761
B3.8,2,,CH4,2.794,18.489,1.9002,,1.8186,1.9608,1.7535
B3.8,2,,CO2,4.193,44543.5787,5102.3346,,691.4748,1898.1738,1142.0785
B3.8,2,,N2O,5.127,123.9855,0.2778,,0.2378,0.3495,0.2573
B3.11,2,,CH4,2.795,17.5287,1.7882,,1.772,1.6532,1.9833
B3.11,2,,CO2,4.198,17255.4487,1970.0698,,437.8347,2420.7949,2762.5139
B3.11,2,,N2O,5.128,120.7145,0.2687,,0.2356,0.3184,0.304
B3.12,2,,CH4,2.796,17.3343,1.7655,,1.8311,1.6229,2.1352
B3.12,2,,CO2,4.2,9924.2921,1128.5638,,907.3649,1288.7779,2210.9226
B3.12,2,,N2O,5.128,111.8138,0.2438,,0.987,0.3214,0.4369
B3.13,2,,CH4,2.795,20.6565,2.153,,2.2529,2.0571,2.0128
B3.13,2,,CO2,4.198,21418.2824,2447.9001,,1634.3369,2539.4631,2802.0186
B3.13,2,,N2O,5.128,129.1597,0.2923,,0.7492,0.7015,0.4056
B3.16,2,,CH4,2.794,19.2026,1.9834,,2.2616,1.952,1.7346
B3.16,2,,CO2,4.197,20590.6076,2352.8956,,2057.9702,2839.2728,1859.4324
B3.16,2,,N2O,5.129,128.1632,0.2895,,1.1494,0.4237,0.2629
B3.17,2,,CH4,2.792,19.0026,1.9601,,2.1972,1.9906,1.6711
B3.17,2,,CO2,4.195,19509.4406,2228.794,,1872.9132,3136.4977,1602.0454
B3.17,2,,N2O,5.124,127.5938,0.2879,,1.691,0.5129,0.2779
B3.18,2,,CH4,2.79,16.8811,1.7126,,1.8365,1.6193,1.8578
B3.18,2,,CO2,4.194,18038.4703,2059.9488,,926.6358,2351.0424,2946.8005
B3.18,2,,N2O,5.124,112.6938,0.2462,,1.1674,0.4752,0.36
B3.21,2,,CH4,2.789,19.0335,1.9637,,1.8304,1.3295,1.8423
B3.21,2,,CO2,4.193,21452.1748,2451.7905,,1780.0024,2927.9259,3649.6333
B3.21,2,,N2O,5.124,125.1818,0.2812,,0.2644,0.2682,0.346
B3.22,2,,CH4,2.788,17.9784,1.8406,,1.6631,1.6273,1.8412
B3.22,2,,CO2,4.19,31752.5553,3634.1184,,1834.2859,2280.9331,3245.863
B3.22,2,,N2O,5.125,127.3548,0.2873,,0.245,0.2338,0.2869
B3.23,2,,CH4,2.787,18.0867,1.8533,,1.9992,1.7458,2.3801
B3.23,2,,CO2,4.191,22753.1974,2601.1282,,2262.9794,1576.6835,3431.0369
B3.23,2,,N2O,5.123,129.1006,0.2922,,0.3085,0.2452,0.2956
